"ID";"SIREN";"Organisation_name";"Type_of_org";"zip_code";"City";"Department_code";"Department_name";"Region";"categorie_entreprise";"etablissements";"creation_date";"juridical_nature";"is_sse";"is_mission_driven"
70;441981230;"ASSOCIATION NOIR SALLE";"Associations";26110;"MIRABEL-AUX-BARONNIES";"26";"DROME";"AUVERGNE RHONE ALPES";NA;"1";"2001-02-09";"9220";"TRUE";"FALSE"
71;433989464;"GALAXY FORMATION";"Associations";38090;"VILLEFONTAINE";"38";"ISERE";"AUVERGNE RHONE ALPES";"PME";"1";"2000-12-11";"9220";"TRUE";"FALSE"
72;453256521;"ECURIE LES FOUS DU VOLANT";"Associations";83136;"NEOULES";"83";"VAR";"PROVENCE ALPES COTE D AZUR";NA;"1";"2003-03-07";"9220";"TRUE";"FALSE"
73;488028200;"ASSOCIATION LE FIL DE SOIE";"Associations";13015;"MARSEILLE 15";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2005-11-18";"9220";"TRUE";"FALSE"
74;490021250;"VENTU DI MARE";"Associations";20214;"CALENZANA";"2B";"HAUTE CORSE";"CORSE";"PME";"1";"2003-12-11";"9220";"TRUE";"FALSE"
75;508288834;"LA MASCOTTE";"Associations";69100;"VILLEURBANNE";"69";"RHONE";"AUVERGNE RHONE ALPES";NA;"1";"2007-02-01";"9220";"TRUE";"FALSE"
76;518519608;"ECOLE DE DANSE";"Associations";38870;"SAINT-SIMEON-DE-BRESSIEUX";"38";"ISERE";"AUVERGNE RHONE ALPES";"PME";"1";"2009-08-01";"9220";"TRUE";"FALSE"
77;523646875;"ASSEMBLEE DE DIEU DE MARTIGUES";"Associations";13500;"MARTIGUES";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";"PME";"1";"1964-06-01";"9230";"TRUE";"FALSE"
78;751111238;"VERS UNE AUTRE PALETTE";"Associations";13011;"MARSEILLE 11";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2012-01-28";"9220";"TRUE";"FALSE"
79;779490648;"OGEC CHABONS";"Associations";38690;"CHABONS";"38";"ISERE";"AUVERGNE RHONE ALPES";"PME";"2";"1900-01-01";"9220";"TRUE";"FALSE"
80;798901583;"METEOR";"Cooperative";43200;"YSSINGEAUX";"43";"HAUTE LOIRE";"AUVERGNE RHONE ALPES";"PME";"1";"2013-10-01";"5460";"TRUE";"FALSE"
81;16550329;"ASSOCIATION IMMOBILIERE";"Associations";21000;"DIJON";"21";"COTE D OR";"BOURGOGNE FRANCHE COMTE";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found"
82;341435758;"FERTILY";"Associations";69008;"LYON 8EME";"69";"RHONE";"AUVERGNE RHONE ALPES";"PME";"1";"1986-02-12";"9220";"TRUE";"FALSE"
83;379788235;"COMITE BOURGOGNE CANOE KAYAK";"Associations";21000;"DIJON";"21";"COTE D OR";"BOURGOGNE FRANCHE COMTE";"PME";"1";"1990-09-01";"9220";"TRUE";"FALSE"
84;397501552;"ASSOCIATION AGIR";"Associations";89200;"AVALLON";"89";"YONNE";"BOURGOGNE FRANCHE COMTE";"PME";"1";"1994-06-28";"9220";"TRUE";"FALSE"
