ID;SIREN;Organisation_name;Type_of_org;zip_code;City;Department_code;Department_name;Region
401;60500295;SOCIETE DE L ISLE;Cooperative;38100;GRENOBLE;38;ISERE;AUVERGNE RHONE ALPES
402;335042875;CENTRE SOCIO CULTUREL VAIVRE MONTOILLE;Associations;70000;VAIVRE-ET-MONTOILLE;70;HAUTE SAONE;BOURGOGNE FRANCHE COMTE
403;379816549;PLATOLYRE;Associations;84580;OPPEDE;84;VAUCLUSE;PROVENCE ALPES COTE D AZUR
404;397533878;ASS ACTION RECHERCHE PAIN PROJET EMPLOI;Associations;69009;LYON 9EME;69;RHONE;AUVERGNE RHONE ALPES
405;407727817;ASSOC VOILE LIBRE MONTAGNY LES BEAUNE;Associations;21200;MONTAGNY-LES-BEAUNE;21;COTE D OR;BOURGOGNE FRANCHE COMTE
406;442005880;CLUB DE PLONGEE AIX LAC DU BOURGET;Associations;73100;AIX-LES-BAINS;73;SAVOIE;AUVERGNE RHONE ALPES
407;434022547;ENSEMBLE POUR REUSSIR INSERTION PAYS AIX;Associations;13090;AIX-EN-PROVENCE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
408;451711832;COLLECTIF INTER COPROPRIETES;Associations;13014;MARSEILLE 14;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
409;488049768;LES JOURS D ECUME;Associations;69004;LYON 4EME;69;RHONE;AUVERGNE RHONE ALPES
410;491671251;LEGION FUNESTE;Associations;83136;MAZAUGUES;83;VAR;PROVENCE ALPES COTE D AZUR
411;500066337;CORPORATION ETUDIANT MEDECINE DIJON;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
412;510942931;GROUPEMENT POUR UNE GESTION RESPONSABLE DE FORETS BOURGUIGNONNES;Associations;71400;AUTUN;71;SAONE ET LOIRE;BOURGOGNE FRANCHE COMTE
413;527734826;AMICALE ROMY PASSION;Associations;21110;GENLIS;21;COTE D OR;BOURGOGNE FRANCHE COMTE
414;751133703;WOMEN VOICE UP;Associations;74100;ANNEMASSE;74;HAUTE SAVOIE;AUVERGNE RHONE ALPES
415;779495779;SKI CLUB SCOLAIRE DU CHEYLAS;Associations;38570;LE CHEYLAS;38;ISERE;AUVERGNE RHONE ALPES
416;798907283;MAGNY TONIC GV;Associations;21170;MAGNY-LES-AUBIGNY;21;COTE D OR;BOURGOGNE FRANCHE COMTE
417;60501921;LA RESIDENCE RAVAT SOC IMMOB;Cooperative;38500;VOIRON;38;ISERE;AUVERGNE RHONE ALPES
418;335049433;PROVENCE MEDITERRANEE ART CULTURE JUIVE;Associations;13007;MARSEILLE 7;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
419;379818644;CLUB MOTONAUTIQUE JURASSIEN;Associations;39270;ORGELET;39;JURA;BOURGOGNE FRANCHE COMTE
420;397535212;ASSOC DU TALENT;Associations;13001;MARSEILLE 1;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
421;407727924;LES MILLE ET UNE MARCHES;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
422;442008298;ASSOC DIJONNAISE D HYGIENE HOSPITALIERE;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
423;434022810;RENOUVEAU PROVENCAL;Associations;13012;MARSEILLE 12;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
424;451712319;ASS COLLECTIF THUBANEAU BELSUNCE;Associations;13001;MARSEILLE 1;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
425;488049784;GENERATIONS ROLLER;Associations;69001;LYON 1ER;69;RHONE;AUVERGNE RHONE ALPES
426;491671905;MILLE ET UNE DUNES;Associations;13600;LA CIOTAT;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
427;500066352;ATELIER D'EXPRESSION ARTISTIQUE;Associations;21340;AUBIGNY-LA-RONCE;21;COTE D OR;BOURGOGNE FRANCHE COMTE
428;510943095;ORGANISATION DE CONSULTANTS EN MANAGEMENT DEVELOPPEMENT ET ENVIRONNEMENT;Associations;69100;VILLEURBANNE;69;RHONE;AUVERGNE RHONE ALPES
429;527735237;ACCUEIL PAYSAN SAVOIE;Associations;73600;HAUTECOUR;73;SAVOIE;AUVERGNE RHONE ALPES
430;751135302;LE THEATRE DE LA MARMITE;Associations;38500;VOIRON;38;ISERE;AUVERGNE RHONE ALPES
431;779495787;AMICALE BOULE DU CHEYLAS;Associations;38570;LE CHEYLAS;38;ISERE;AUVERGNE RHONE ALPES
432;798907309;LES JARDINS ET VERGERS DE LA CHOUETTE;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
433;61500351;LE TRAVAILLEUR ALPIN;Cooperative;38000;GRENOBLE;38;ISERE;AUVERGNE RHONE ALPES
434;335049896;OFFICE DU TOURISME;Associations;74440;MIEUSSY;74;HAUTE SAVOIE;AUVERGNE RHONE ALPES
435;379819576;SPI MARKETING;Associations;13014;MARSEILLE 14;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
436;397537069;ORDRE INTERN ANYSETIER COMMANDERIE DAUPH;Associations;38000;GRENOBLE;38;ISERE;AUVERGNE RHONE ALPES
437;407750652;SKI CLUB HTE SAVOUREUSE 90;Associations;90200;VESCEMONT;90;TERRITOIRE DE BELFORT;BOURGOGNE FRANCHE COMTE
438;442009973;ETOILE SPORTIVE DE VIRY;Associations;74580;VIRY;74;HAUTE SAVOIE;AUVERGNE RHONE ALPES
439;434027173;ASSOCIATION FRANCAISE INTERPROFESSIONNELLE DE L'OLIVE;Associations;13100;AIX-EN-PROVENCE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
440;451713184;COMITE LIAISON ASS PHILHELLENES FRANCE;Associations;13004;MARSEILLE 4;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
441;488049818;LOVELY FRANCE;Associations;69007;LYON 7EME;69;RHONE;AUVERGNE RHONE ALPES
442;491679932;NOMADE MEDICAL;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
443;500066410;7EME ELEMENT;Associations;13770;VENELLES;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
444;510943178;LYON ECHECS PASSION 64;Associations;69006;LYON 6EME;69;RHONE;AUVERGNE RHONE ALPES
445;527735476;COMITE DE JUMELAGE DE LA VILLE DE THIZY;Associations;69240;THIZY-LES-BOURGS;69;RHONE;AUVERGNE RHONE ALPES
446;751136284;DPA RACING;Associations;20245;GALERIA;2B;HAUTE CORSE;CORSE
447;779495795;AMICALE LAIQUE;Associations;38570;LE CHEYLAS;38;ISERE;AUVERGNE RHONE ALPES
448;798907804;ASSOCIATION SPORTIVE ET CULTURELLE DE L'ECOLE ELEMENTAIRE DE CHAMONIX CENTRE;Associations;74400;CHAMONIX-MONT-BLANC;74;HAUTE SAVOIE;AUVERGNE RHONE ALPES
449;65800526;SOCIETE LA CIOTAT LA CLAIRETTE;Cooperative;13600;LA CIOTAT;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
450;335050829;ECOLE TECHNIQUE PRIVEE;Associations;89000;AUXERRE;89;YONNE;BOURGOGNE FRANCHE COMTE
451;379820194;MAISON DES ASSOCIATIONS;Associations;42170;SAINT-JUST-SAINT-RAMBERT;42;LOIRE;AUVERGNE RHONE ALPES
452;397537515;ASSOCIATION JEUNES ESPERANCE;Associations;13120;GARDANNE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
453;419071725;CHICHE ANNECY JEUNES ECOLES SOLIDAIRES;Associations;74000;ANNECY;74;HAUTE SAVOIE;AUVERGNE RHONE ALPES
454;442010682;UMERT;Associations;83720;TRANS-EN-PROVENCE;83;VAR;PROVENCE ALPES COTE D AZUR
455;434027322;ASSOCIATION ARLES HANDISPORT;Associations;13200;ARLES;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
456;451713218;MESSIMY BADMINTON CLUB 69 (MBC 69);Associations;69510;MESSIMY;69;RHONE;AUVERGNE RHONE ALPES
457;488051053;COMITE LOCAL BARJOLS DE LA F.N.A.C.A;Associations;83670;BARJOLS;83;VAR;PROVENCE ALPES COTE D AZUR
458;491679973;LES AFRICAINS DES BORNES;Associations;74350;VOVRAY-EN-BORNES;74;HAUTE SAVOIE;AUVERGNE RHONE ALPES
459;500066451;FAI;Associations;69110;SAINTE-FOY-LES-LYON;69;RHONE;AUVERGNE RHONE ALPES
460;510943269;FEDERATION FRANCAISE DE KIN-JO;Associations;69009;LYON 9EME;69;RHONE;AUVERGNE RHONE ALPES
461;527735765;COMITE DES FETES DE LA DESTROUSSE;Associations;13112;LA DESTROUSSE;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
462;751137712;ARTER AGENCE;Cooperative;73000;CHAMBERY;73;SAVOIE;AUVERGNE RHONE ALPES
463;779495811;ASSOC SAPEURS POMPIERS CHEYLAS;Associations;38570;LE CHEYLAS;38;ISERE;AUVERGNE RHONE ALPES
464;798908190;ME ASSOCIATION;Associations;70000;VILLERS-LE-SEC;70;HAUTE SAONE;BOURGOGNE FRANCHE COMTE
465;67500298;SINEQUANON';Cooperative;38130;ECHIROLLES;38;ISERE;AUVERGNE RHONE ALPES
466;335051041;ASSOCIATION LE CHATELAS;Associations;26460;BOURDEAUX;26;DROME;AUVERGNE RHONE ALPES
467;379820301;ASS PARENTS ECOLE LIBRE;Associations;42460;LE CERGNE;42;LOIRE;AUVERGNE RHONE ALPES
468;397537689;ADEMIS DEVELOPPEMENT;Associations;38000;GRENOBLE;38;ISERE;AUVERGNE RHONE ALPES
469;419072053;CLUB DE LOISIRS FEMININS DU PUY EN VELAY;Associations;43000;LE PUY-EN-VELAY;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
470;442011268;ROTARY CLUB DE LA SEYNE SUR MER SAINT MANDRIER SUR MER;Associations;83500;LA SEYNE-SUR-MER;83;VAR;PROVENCE ALPES COTE D AZUR
471;441685682;CLUB ALPIN FRANCAIS DE ST JEOIRE;Associations;74490;SAINT-JEOIRE;74;HAUTE SAVOIE;AUVERGNE RHONE ALPES
472;451713291;FOYER SOCIO EDUCATIF ENSEIG TECH ESTAQUE;Associations;13016;MARSEILLE 16;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
473;488051350;AU CLAIR DE LA BULLE;Associations;43300;LANGEAC;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
474;491681649;YOGA - YOGA;Associations;69380;CHASSELAY;69;RHONE;AUVERGNE RHONE ALPES
475;500070396;ASSOCIATION SPORTIVE DU COLLEGE CHAMPAGNE;Associations;74200;THONON-LES-BAINS;74;HAUTE SAVOIE;AUVERGNE RHONE ALPES
476;510943368;ASSOCIATION CHASSIEU CROATIE;Associations;69680;CHASSIEU;69;RHONE;AUVERGNE RHONE ALPES
477;527736540;ECOLE DE FORMATION JUDO 21 DIJON;Associations;21000;DIJON;21;COTE D OR;BOURGOGNE FRANCHE COMTE
478;751140302;L ECOLE DU TAI CHI;Associations;69670;VAUGNERAY;69;RHONE;AUVERGNE RHONE ALPES
479;779496330;OGEC NOTRE DAME DU ROSAIRE;Associations;38490;CHIMILIN;38;ISERE;AUVERGNE RHONE ALPES
480;798908307;ZIC N' CO;Associations;73170;YENNE;73;SAVOIE;AUVERGNE RHONE ALPES
481;68500628;GROUPEMENT DES INSTALLATEURS FRANCAIS;Cooperative;38130;ECHIROLLES;38;ISERE;AUVERGNE RHONE ALPES
482;335051231;JUDO CLUB ISLOIS;Associations;84800;L'ISLE-SUR-LA-SORGUE;84;VAUCLUSE;PROVENCE ALPES COTE D AZUR
483;379821655;ASSOCIATION SKI DE FOND 2000;Associations;39400;BELLEFONTAINE;39;JURA;BOURGOGNE FRANCHE COMTE
484;397538810;ZIRCON;Associations;43000;ESPALY-SAINT-MARCEL;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
485;419072129;CHALET CHAUDEYRAC PRODUITS ARTISANAT;Associations;43550;SAINT-FRONT;43;HAUTE LOIRE;AUVERGNE RHONE ALPES
486;442011730;ASS CARE & SHARE;Associations;38600;FONTAINE;38;ISERE;AUVERGNE RHONE ALPES
487;441686995;KARATE CLUB;Associations;38210;TULLINS;38;ISERE;AUVERGNE RHONE ALPES
488;451713804;ASSOCIATION ROSTAND;Associations;13006;MARSEILLE 6;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
489;488051442;COLLECTIF ILDI ELDI;Associations;13002;MARSEILLE 2;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
490;491681888;MANAGEMENT PUBLIC CONSEIL;Associations;26260;SAINT DONAT SUR L'HERBASSE;26;DROME;AUVERGNE RHONE ALPES
491;500070636;HORS SERIES;Associations;13001;MARSEILLE 1;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
492;510943467;THEATRE ANIMATIONS LOISIRS;Associations;70210;PASSAVANT-LA-ROCHERE;70;HAUTE SAONE;BOURGOGNE FRANCHE COMTE
493;527736565;COMPAGNIE LA TRANSVERSALE;Associations;63000;CLERMONT-FERRAND;63;PUY DE DOME;AUVERGNE RHONE ALPES
494;751144429;ASSOCIATION DE LA SALLE DES FETES DE LAQUEUILLE;Associations;63820;LAQUEUILLE;63;PUY DE DOME;AUVERGNE RHONE ALPES
495;779496553;CLUB SPORTIF CHIRENNOIS;Associations;38850;CHIRENS;38;ISERE;AUVERGNE RHONE ALPES
496;798908588;LE CLUB DES JEUNES ANONYMES;Associations;25000;BESANCON;25;DOUBS;BOURGOGNE FRANCHE COMTE
497;69501500;ASS RONDEAU-MONTFLEURY;Associations;38700;CORENC;38;ISERE;AUVERGNE RHONE ALPES
498;335059580;ASS FRANCAISE CENTRE CONSULT CONJUGALE;Associations;13001;MARSEILLE 1;13;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR
499;384360012;ASSOCIATION ENTRE ACTES;Associations;73000;CHAMBERY;73;SAVOIE;AUVERGNE RHONE ALPES
